Specimen label,"Steel ME354"
End date,"Monday, October 14, 2019"
Thickness,"6.20000",mm
Width,"12.30000",mm
Final length,"78.43000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.05000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"24.800","2.067","25287.26","0.00858","0.00193"
"24.900","2.075","25318.13","0.00875","0.00201"
"25.000","2.083","25355.99","0.00892","0.00208"
"25.100","2.092","25366.33","0.00908","0.00216"
"25.200","2.100","25367.90","0.00926","0.00225"
"25.300","2.109","25365.53","0.00943","0.00235"
"25.400","2.117","25370.92","0.00961","0.00246"
"25.500","2.125","25382.28","0.00981","0.00259"
"25.600","2.134","25382.00","0.01001","0.00275"
"25.700","2.142","25380.33","0.01021","0.00294"
"25.800","2.150","25378.48","0.01042","0.00314"
"25.900","2.159","25385.98","0.01064","0.00335"
"26.000","2.167","25393.22","0.01086","0.00356"
"26.100","2.175","25399.81","0.01107","0.00376"
"26.200","2.184","25406.12","0.01127","0.00396"
"26.300","2.192","25419.71","0.01146","0.00414"
"26.400","2.200","25430.09","0.01164","0.00431"
"26.500","2.209","25440.62","0.01181","0.00447"
"26.600","2.217","25453.31","0.01196","0.00460"
"26.700","2.225","25464.18","0.01209","0.00473"
"26.800","2.234","25482.73","0.01220","0.00483"
"26.900","2.242","25503.19","0.01230","0.00493"
"27.000","2.250","25511.56","0.01239","0.00500"
"27.100","2.258","25531.07","0.01247","0.00507"
"27.200","2.267","25542.61","0.01254","0.00513"
"27.300","2.275","25546.10","0.01260","0.00519"
"27.400","2.283","25550.94","0.01265","0.00523"
"27.500","2.292","25557.58","0.01269","0.00527"
"27.600","2.300","25567.72","0.01273","0.00531"
"27.700","2.309","25579.32","0.01277","0.00535"
"27.800","2.317","25608.73","0.01281","0.00538"
"27.900","2.325","25672.67","0.01285","0.00541"
"28.000","2.334","25706.30","0.01290","0.00545"
"28.100","2.342","25749.57","0.01296","0.00549"
"28.200","2.350","25823.72","0.01302","0.00553"
"28.300","2.358","25871.91","0.01308","0.00557"
"28.400","2.367","25911.05","0.01315","0.00562"
"28.500","2.375","25954.52","0.01322","0.00566"
"28.600","2.384","25986.43","0.01330","0.00572"
"28.700","2.392","26031.44","0.01339","0.00577"
"28.800","2.400","26086.87","0.01347","0.00582"
"28.900","2.409","26115.62","0.01356","0.00587"
"29.000","2.417","26145.77","0.01365","0.00592"
"29.100","2.425","26190.47","0.01375","0.00598"
"29.200","2.434","26226.21","0.01384","0.00603"
"29.300","2.442","26245.73","0.01394","0.00608"
"29.400","2.450","26278.12","0.01403","0.00613"
"29.500","2.458","26325.30","0.01413","0.00618"
"29.600","2.467","26367.18","0.01422","0.00623"
"29.700","2.475","26385.10","0.01431","0.00628"
"29.800","2.484","26393.57","0.01440","0.00633"
"29.900","2.492","26399.45","0.01449","0.00638"
"30.000","2.500","26409.71","0.01458","0.00643"
"30.100","2.509","26423.32","0.01467","0.00647"
"30.200","2.517","26439.92","0.01476","0.00652"
"30.300","2.525","26475.79","0.01485","0.00656"
"30.400","2.534","26527.74","0.01495","0.00661"
"30.500","2.542","26577.67","0.01503","0.00666"
"30.600","2.550","26615.54","0.01512","0.00670"
"30.700","2.559","26649.62","0.01522","0.00675"
"30.800","2.567","26703.41","0.01531","0.00679"
"30.900","2.575","26749.51","0.01540","0.00684"
"31.000","2.584","26766.25","0.01549","0.00689"
"31.100","2.592","26803.19","0.01558","0.00693"
"31.200","2.600","26848.13","0.01567","0.00698"
"31.300","2.609","26885.53","0.01576","0.00702"
"31.400","2.617","26897.82","0.01585","0.00707"
"31.500","2.625","26906.83","0.01594","0.00711"
"31.600","2.634","26917.88","0.01603","0.00716"
"31.700","2.642","26935.48","0.01612","0.00720"
"31.800","2.650","26947.64","0.01621","0.00725"
"31.900","2.659","26959.27","0.01630","0.00730"
"32.000","2.667","26980.66","0.01638","0.00734"
"32.100","2.675","27021.15","0.01647","0.00739"
"32.200","2.684","27081.37","0.01656","0.00743"
"32.300","2.692","27110.87","0.01666","0.00748"
"32.400","2.700","27125.57","0.01675","0.00752"
"32.500","2.709","27150.25","0.01684","0.00757"
"32.600","2.717","27190.47","0.01693","0.00762"
"32.700","2.725","27220.33","0.01702","0.00766"
"32.800","2.734","27245.68","0.01711","0.00771"
"32.900","2.742","27265.17","0.01720","0.00775"
"33.000","2.750","27304.89","0.01729","0.00780"
"33.100","2.759","27370.89","0.01738","0.00784"
"33.200","2.767","27411.74","0.01746","0.00789"
"33.300","2.775","27449.88","0.01755","0.00793"
"33.400","2.784","27468.63","0.01764","0.00798"
"33.500","2.792","27474.69","0.01773","0.00802"
"33.600","2.800","27479.83","0.01782","0.00807"
"33.700","2.808","27490.85","0.01791","0.00811"
"33.800","2.817","27503.02","0.01801","0.00816"
"33.900","2.825","27527.14","0.01810","0.00821"
"34.000","2.834","27541.51","0.01819","0.00825"
"34.100","2.842","27578.81","0.01828","0.00830"
"34.200","2.850","27616.58","0.01837","0.00835"
"34.300","2.858","27642.19","0.01846","0.00840"
"34.400","2.867","27671.99","0.01855","0.00844"
"34.500","2.875","27732.18","0.01864","0.00849"
"34.600","2.884","27766.52","0.01873","0.00853"
"34.700","2.892","27798.39","0.01882","0.00858"
"34.800","2.900","27826.67","0.01892","0.00863"
"34.900","2.909","27872.72","0.01901","0.00868"
"35.000","2.917","27900.93","0.01910","0.00872"
"35.100","2.925","27919.57","0.01919","0.00877"
"35.200","2.934","27939.14","0.01929","0.00882"
"35.300","2.942","27947.58","0.01938","0.00887"
"35.400","2.950","27960.37","0.01946","0.00891"
"35.500","2.959","27970.22","0.01956","0.00896"
"35.600","2.967","27975.67","0.01965","0.00901"
"35.700","2.975","27986.87","0.01975","0.00906"
"35.800","2.983","28003.80","0.01984","0.00910"
"35.900","2.992","28055.57","0.01993","0.00915"
"36.000","3.000","28111.98","0.02002","0.00919"
"36.100","3.009","28153.62","0.02012","0.00924"
"36.200","3.017","28176.87","0.02021","0.00929"
"36.300","3.025","28191.25","0.02030","0.00933"
"36.400","3.033","28219.05","0.02040","0.00938"
"36.500","3.042","28259.05","0.02049","0.00943"
"36.600","3.050","28279.72","0.02058","0.00948"
"36.700","3.059","28301.49","0.02067","0.00953"
"36.800","3.067","28324.43","0.02077","0.00957"
"36.900","3.075","28346.74","0.02086","0.00962"
"37.000","3.084","28382.46","0.02096","0.00967"
"37.100","3.092","28412.42","0.02106","0.00972"
"37.200","3.100","28435.59","0.02115","0.00977"
"37.300","3.109","28459.00","0.02124","0.00981"
"37.400","3.117","28492.82","0.02133","0.00986"
"37.500","3.125","28515.42","0.02143","0.00991"
"37.600","3.134","28527.49","0.02152","0.00996"
"37.700","3.142","28534.94","0.02162","0.01001"
"37.800","3.150","28545.21","0.02171","0.01006"
"37.900","3.159","28564.34","0.02180","0.01011"
"38.000","3.167","28600.38","0.02190","0.01015"
"38.100","3.175","28642.81","0.02200","0.01020"
"38.200","3.184","28663.65","0.02209","0.01025"
"38.300","3.192","28685.74","0.02219","0.01029"
"38.400","3.200","28702.67","0.02228","0.01034"
"38.500","3.209","28727.09","0.02238","0.01038"
"38.600","3.217","28768.84","0.02247","0.01043"
"38.700","3.225","28803.64","0.02256","0.01047"
"38.800","3.234","28831.65","0.02266","0.01052"
"38.900","3.242","28875.99","0.02275","0.01057"
"39.000","3.250","28916.21","0.02285","0.01062"
"39.100","3.259","28944.81","0.02294","0.01066"
"39.200","3.267","28965.41","0.02304","0.01071"
"39.300","3.275","28972.71","0.02313","0.01076"
"39.400","3.284","28978.80","0.02323","0.01080"
"39.500","3.292","28985.24","0.02332","0.01085"
"39.600","3.300","28991.46","0.02342","0.01090"
"39.700","3.309","28998.63","0.02351","0.01095"
"39.800","3.317","29013.78","0.02361","0.01100"
"39.900","3.325","29026.54","0.02370","0.01104"
"40.000","3.334","29052.88","0.02380","0.01109"
"40.100","3.342","29086.40","0.02390","0.01114"
"40.200","3.350","29125.82","0.02399","0.01118"
"40.300","3.359","29168.82","0.02409","0.01123"
"40.400","3.367","29189.84","0.02419","0.01127"
"40.500","3.375","29209.63","0.02428","0.01132"
"40.600","3.384","29243.09","0.02437","0.01137"
"40.700","3.392","29276.49","0.02447","0.01141"
"40.800","3.400","29301.08","0.02456","0.01146"
"40.900","3.408","29332.84","0.02466","0.01151"
"41.000","3.417","29354.52","0.02475","0.01155"
"41.100","3.425","29381.83","0.02485","0.01160"
"41.200","3.433","29410.80","0.02495","0.01165"
"41.300","3.442","29430.60","0.02504","0.01170"
"41.400","3.450","29461.71","0.02514","0.01174"
"41.500","3.459","29473.85","0.02524","0.01179"
"41.600","3.467","29478.88","0.02533","0.01184"
"41.700","3.475","29487.73","0.02543","0.01188"
"41.800","3.484","29503.42","0.02552","0.01193"
"41.900","3.492","29512.16","0.02561","0.01198"
"42.000","3.500","29529.93","0.02571","0.01203"
"42.100","3.509","29543.60","0.02581","0.01208"
"42.200","3.517","29556.62","0.02590","0.01213"
"42.300","3.525","29576.26","0.02600","0.01217"
"42.400","3.534","29609.28","0.02610","0.01222"
"42.500","3.542","29646.38","0.02620","0.01227"
"42.600","3.550","29663.84","0.02630","0.01232"
"42.700","3.559","29685.23","0.02639","0.01236"
"42.800","3.567","29703.29","0.02649","0.01240"
"42.900","3.575","29717.60","0.02658","0.01245"
"43.000","3.584","29744.71","0.02667","0.01250"
"43.100","3.592","29781.08","0.02677","0.01254"
"43.200","3.600","29795.72","0.02686","0.01259"
"43.300","3.609","29815.08","0.02696","0.01264"
"43.400","3.617","29848.18","0.02706","0.01269"
"43.500","3.625","29886.64","0.02716","0.01274"
"43.600","3.634","29934.52","0.02726","0.01278"
"43.700","3.642","29976.83","0.02735","0.01283"
"43.800","3.650","29994.40","0.02745","0.01288"
"43.900","3.658","30014.74","0.02754","0.01292"
"44.000","3.667","30034.97","0.02765","0.01297"
"44.100","3.675","30048.84","0.02774","0.01302"
"44.200","3.684","30057.28","0.02784","0.01307"
"44.300","3.692","30067.72","0.02794","0.01311"
"44.400","3.700","30077.47","0.02803","0.01316"
"44.500","3.709","30083.21","0.02813","0.01321"
"44.600","3.717","30091.59","0.02823","0.01325"
"44.700","3.725","30106.54","0.02833","0.01331"
"44.800","3.734","30128.90","0.02842","0.01335"
"44.900","3.742","30158.22","0.02852","0.01340"
"45.000","3.750","30187.82","0.02862","0.01345"
"45.100","3.759","30217.04","0.02871","0.01350"
"45.200","3.767","30240.52","0.02882","0.01355"
"45.300","3.775","30253.15","0.02892","0.01360"
"45.400","3.784","30270.93","0.02902","0.01364"
"45.500","3.792","30292.76","0.02912","0.01369"
"45.600","3.800","30327.92","0.02922","0.01374"
"45.700","3.809","30345.51","0.02932","0.01379"
"45.800","3.817","30354.53","0.02942","0.01383"
"45.900","3.825","30375.40","0.02951","0.01388"
"46.000","3.834","30393.18","0.02961","0.01393"
"46.100","3.842","30415.54","0.02970","0.01397"
"46.200","3.850","30441.78","0.02980","0.01402"
"46.300","3.859","30463.83","0.02990","0.01407"
"46.400","3.867","30479.94","0.03000","0.01412"
"46.500","3.875","30485.43","0.03010","0.01417"
"46.600","3.883","30501.98","0.03020","0.01422"
"46.700","3.892","30517.78","0.03030","0.01427"
"46.800","3.900","30533.21","0.03040","0.01431"
"46.900","3.909","30549.46","0.03050","0.01437"
"47.000","3.917","30565.84","0.03060","0.01442"
"47.100","3.925","30574.65","0.03070","0.01446"
"47.200","3.933","30585.63","0.03079","0.01451"
"47.300","3.942","30600.03","0.03089","0.01456"
"47.400","3.950","30628.16","0.03099","0.01461"
"47.500","3.959","30652.31","0.03109","0.01466"
"47.600","3.967","30685.10","0.03119","0.01471"
"47.700","3.975","30732.21","0.03129","0.01476"
"47.800","3.984","30753.69","0.03139","0.01481"
"47.900","3.992","30779.33","0.03149","0.01486"
"48.000","4.000","30797.55","0.03159","0.01491"
"48.100","4.009","30820.25","0.03169","0.01496"
"48.200","4.017","30844.11","0.03179","0.01501"
"48.300","4.025","30867.82","0.03189","0.01506"
"48.400","4.034","30876.55","0.03199","0.01511"
"48.500","4.042","30891.97","0.03209","0.01516"
"48.600","4.050","30910.56","0.03219","0.01520"
"48.700","4.058","30935.39","0.03229","0.01525"
"48.800","4.067","30969.81","0.03239","0.01530"
"48.900","4.075","30991.30","0.03249","0.01535"
"49.000","4.084","31006.43","0.03259","0.01540"
"49.100","4.092","31019.78","0.03268","0.01545"
"49.200","4.100","31023.34","0.03278","0.01550"
"49.300","4.109","31026.73","0.03288","0.01555"
"49.400","4.117","31029.30","0.03298","0.01560"
"49.500","4.125","31032.17","0.03309","0.01565"
"49.600","4.134","31038.62","0.03319","0.01571"
"49.700","4.142","31045.84","0.03329","0.01575"
"49.800","4.150","31051.23","0.03339","0.01580"
"49.900","4.158","31061.74","0.03349","0.01585"
"50.000","4.167","31072.81","0.03359","0.01591"
"50.100","4.175","31087.98","0.03369","0.01596"
"50.200","4.184","31109.07","0.03379","0.01600"
"50.300","4.192","31137.47","0.03389","0.01605"
"50.400","4.200","31161.32","0.03399","0.01610"
"50.500","4.209","31178.02","0.03410","0.01616"
"50.600","4.217","31196.79","0.03420","0.01621"
"50.700","4.225","31220.22","0.03430","0.01626"
"50.800","4.234","31241.01","0.03440","0.01631"
"50.900","4.242","31270.49","0.03450","0.01636"
"51.000","4.250","31299.81","0.03460","0.01641"
"51.100","4.259","31335.29","0.03470","0.01646"
"51.200","4.267","31353.94","0.03480","0.01651"
"51.300","4.275","31376.55","0.03490","0.01656"
"51.400","4.284","31388.88","0.03501","0.01661"
"51.500","4.292","31405.29","0.03511","0.01666"
"51.600","4.300","31433.68","0.03521","0.01671"
"51.700","4.309","31465.50","0.03531","0.01676"
"51.800","4.317","31495.27","0.03541","0.01681"
"51.900","4.325","31527.33","0.03551","0.01686"
"52.000","4.334","31553.82","0.03561","0.01692"
"52.100","4.342","31571.29","0.03571","0.01696"
"52.200","4.350","31583.62","0.03581","0.01701"
"52.300","4.359","31590.80","0.03592","0.01707"
"52.400","4.367","31596.09","0.03602","0.01711"
"52.500","4.375","31601.66","0.03612","0.01717"
"52.600","4.384","31611.51","0.03622","0.01722"
"52.700","4.392","31628.88","0.03633","0.01727"
"52.800","4.400","31635.73","0.03643","0.01732"
"52.900","4.409","31647.42","0.03653","0.01737"
"53.000","4.417","31656.70","0.03663","0.01742"
"53.100","4.425","31658.73","0.03673","0.01748"
